Posicion Inicial,Posicion Final,Cantidad de Pasos,Fecha
14,4,1,20/02/2025 02:06:20
7,1,1,20/02/2025 02:06:36
1,9,1,20/02/2025 02:59:04
6,3,1,20/02/2025 02:59:05
2,0,1,20/02/2025 03:04:51
7,5,2,20/02/2025 02:03:17
2,4,2,20/02/2025 02:06:26
8,6,2,20/02/2025 02:36:36
0,11,2,20/02/2025 02:36:43
4,1,2,20/02/2025 02:59:03
6,0,2,20/02/2025 03:04:56
1,3,2,20/02/2025 03:12:45
5,1,3,20/02/2025 02:06:32
5,14,3,20/02/2025 02:59:01
0,9,4,20/02/2025 02:03:08
5,0,5,20/02/2025 02:36:51
7,2,6,20/02/2025 01:44:30
7,2,6,20/02/2025 01:44:30
7,2,6,20/02/2025 01:44:30
7,2,6,20/02/2025 01:44:30
