Posicion Inicial,Posicion Final,Distancia Faltante,Fecha
7,14,0.0,20/02/2025 01:28:50
7,14,0.0,20/02/2025 01:28:50
7,14,0.0,20/02/2025 01:28:50
7,14,0.0,20/02/2025 01:28:50
7,14,0.0,20/02/2025 01:28:50
7,14,0.0,20/02/2025 01:28:50
7,14,0.0,20/02/2025 01:28:50
10,12,0.0,20/02/2025 02:03:09
3,9,0.0,20/02/2025 02:03:11
5,6,0.0,20/02/2025 02:03:12
5,12,0.0,20/02/2025 02:03:13
6,8,0.0,20/02/2025 02:03:14
-1,-1,0.0,20/02/2025 02:03:14
9,1,0.0,20/02/2025 02:03:15
9,3,0.0,20/02/2025 02:05:45
1,14,0.0,20/02/2025 02:06:05
7,9,0.0,20/02/2025 02:06:11
7,3,0.0,20/02/2025 02:12:20
18,3,0.0,20/02/2025 02:12:23
11,3,0.0,20/02/2025 02:28:39
7,5,0.0,20/02/2025 02:28:41
2,7,0.0,20/02/2025 02:28:44
